,time_stamp,x_cod_left_gaze,y_cod_left_gaze,x_cod_right_gaze,y_cod_right_gaze
0,13574645706,394.1648483276367,843.8678026199342,272.8084945678711,972.458438873291
1,13574662361,408.8495063781738,831.088535785675,355.3999328613281,895.0410032272339
2,13574679015,418.59117507934565,832.9887628555298,355.3999328613281,895.0410032272339
3,13574695671,413.8927459716797,821.6877579689026,336.03272438049316,859.8391342163086
4,13574712326,416.907262802124,817.1319508552551,336.2013816833496,809.6530938148499
5,13574728981,417.56847381591797,832.4233102798462,349.60049629211426,805.5392074584961
6,13574745635,427.7288246154785,824.2211580276489,339.97847557067877,800.3336834907532
7,13574762290,414.6469974517822,809.017345905304,354.09419059753424,797.6340079307556
8,13574778946,412.39414215087896,811.1722326278687,351.49157524108887,812.3771667480469
9,13574795600,411.51529312133783,809.8568344116211,341.7691898345947,809.1949510574342
10,13574812255,411.85046195983887,805.8052611351013,339.39436912536627,796.5612316131592
11,13574828910,422.21031188964844,818.5671472549438,313.1931781768799,759.5674109458923
12,13574845564,616.6008567810057,820.4390501976013,583.150634765625,823.0914115905762
13,13574862219,630.3396606445312,819.9147319793701,565.5933952331543,825.9761595726013
14,13574878875,645.2458763122559,821.0061120986938,560.5974769592285,804.8017501831055
15,13574895529,645.5513763427734,822.6083564758301,555.9751510620117,796.150209903717
16,13574912184,633.1374549865723,818.8443374633789,552.0735168457031,800.8911538124084
17,13574928839,633.1374549865723,818.8443374633789,564.8779678344727,806.7840528488158
18,13574945493,637.6498603820801,819.6589136123657,578.0715751647949,800.7660126686096
19,13574962149,640.5410385131837,816.5744805335999,577.6181030273438,786.7867040634155
20,13574978804,618.6635971069336,762.5926852226257,559.5853042602539,790.2099323272705
21,13574995459,590.7125473022461,706.0423421859741,418.5698890686036,711.7697381973267
22,13575012113,487.04389572143555,409.631187915802,418.5698890686036,711.7697381973267
23,13575028768,506.59841537475586,414.7361934185028,416.8741607666015,518.2537007331849
24,13575045424,516.3657188415527,413.990045785904,421.71544075012207,425.69914340972906
25,13575062078,498.6301803588867,392.0776319503784,447.5305366516114,382.75471329689026
26,13575078733,501.9429016113281,387.2672939300537,441.01115226745605,391.42141342163086
27,13575095388,504.5665740966796,396.8326413631439,429.86377716064453,372.3919451236725
28,13575112042,504.4325065612793,393.8043737411499,431.632776260376,368.77823710441584
29,13575128698,509.4162368774414,398.7472558021546,428.34866523742676,364.23993945121765
30,13575145353,510.00417709350586,401.9827079772949,435.5697441101075,364.29694175720215
31,13575162007,490.689697265625,382.11156249046326,435.83218574523926,348.4747624397278
32,13575178662,433.19987297058105,334.28321599960327,407.81172752380365,304.85377192497253
33,13575195317,379.2612361907959,275.4789161682129,349.47452545166016,275.1319134235382
34,13575211972,363.99564743042,255.30178964138034,322.0122241973877,255.24821519851685
35,13575228627,363.8890743255615,269.4178748130798,311.61131858825684,245.280938744545
36,13575245282,354.6825313568115,267.8293579816819,305.5843734741211,246.62578761577606
37,13575261937,368.55563163757324,279.59264159202576,309.33580398559576,249.82396781444552
38,13575278591,381.090087890625,280.6823480129242,312.03680992126465,253.66098582744598
39,13575295247,373.9488887786866,273.4308886528015,315.66267013549805,246.71106576919556
40,13575311902,364.79679107666016,269.4351911544799,315.8903503417969,244.68403995037076
41,13575328556,365.63063621520996,273.6976182460785,311.2954616546631,253.96629095077517
42,13575345211,363.34422111511236,273.92688274383545,306.98295593261724,252.6881968975067
43,13575361866,353.81009101867676,260.9558969736099,309.36827659606934,235.67619502544403
44,13575378521,373.0860614776612,244.7021448612213,316.3553237915039,219.88739311695096
45,13575395176,408.4247303009033,237.6672202348709,329.04398918151855,215.85345804691315
46,13575411831,402.1388912200928,236.1213827133179,326.8747615814209,209.33663964271545
47,13575428485,397.75932312011724,234.64429557323456,326.6000461578369,226.73473477363584
48,13575445140,400.24088859558105,232.4209642410278,334.27900314331055,230.3417319059372
49,13575461796,406.21275901794434,232.59847283363342,325.0074863433838,208.89698803424835
50,13575478450,407.76120185852056,230.81817269325254,319.4154739379883,211.67785406112668
51,13575495105,407.35937118530273,226.61593437194824,323.97974967956543,236.80624723434445
52,13575511760,402.9880714416504,220.11472642421722,315.446548461914,225.59221029281616
53,13575528415,401.19807243347174,220.58828651905057,322.52949714660645,220.45738399028778
54,13575545070,397.91862487792974,220.28739094734192,328.52139472961426,219.2481690645218
55,13575561725,391.232385635376,219.3372452259064,323.8905143737793,218.61277520656586
56,13575578380,391.5759086608887,217.67590641975403,322.08452224731445,220.7012289762497
57,13575595034,396.7596244812012,215.57617127895355,324.49496269226074,219.78920817375183
58,13575611689,396.53346061706543,218.23979794979098,326.2343215942382,217.9657620191574
59,13575628345,394.04242515563965,215.18653750419614,322.3926830291748,220.17436802387238
60,13575644999,397.0773124694824,209.5559424161911,323.6491012573242,221.64952397346497
61,13575661654,396.5930843353272,211.67104661464694,316.9415760040283,216.96789979934695
62,13575678309,392.312536239624,212.09310829639438,311.8902397155762,208.68539392948148
63,13575694963,376.53273582458496,210.4722440242767,326.45081520080566,207.13223397731784
64,13575711619,372.90504455566406,224.4743567705154,349.4188499450683,234.73000824451447
65,13575728274,,,,
66,13575744928,,,,
67,13575761583,,,,
68,13575778238,,,,
69,13575794894,,,,
70,13575811548,,,,
71,13575828203,,,,
72,13575844858,,,,
73,13575861512,489.8630905151367,212.6612162590027,362.9130363464356,297.5034034252167
74,13575878168,490.35484313964844,209.35411691665644,362.9130363464356,297.5034034252167
75,13575894823,478.5529518127442,197.59220123291018,390.8565616607666,165.65653860569
