,time_stamp,x_cod_left_gaze,y_cod_left_gaze,x_cod_right_gaze,y_cod_right_gaze
0,3012514607325,1218.2239151000977,273.54621291160583,1228.0928421020508,280.0331139564514
1,3012514623980,1221.3638305664062,273.46301078796387,1233.6127853393555,277.31232404708857
2,3012514640635,1213.9204788208008,272.6405489444732,1229.004135131836,280.6013667583466
3,3012514657289,1215.8418273925781,273.2119560241699,1224.1067504882812,298.3558630943298
4,3012514673945,1221.5216445922852,273.7463164329529,1228.8934707641602,294.28858280181885
5,3012514690600,1218.3271408081055,266.7362236976623,1230.4150772094727,270.6925570964813
6,3012514707254,1216.431884765625,267.0417380332946,1229.2042922973633,276.61590456962585
7,3012514723909,1216.2979888916016,269.4749093055725,1230.7529067993164,284.39319491386414
8,3012514740564,1215.831069946289,269.23001825809484,1233.3794403076172,281.7473030090332
9,3012514757219,1211.887321472168,267.06803441047674,1236.7634582519531,287.9042279720306
10,3012514773874,1208.1330871582031,266.1133664846421,1240.5281066894531,287.0408570766449
11,3012514790529,1215.955924987793,263.11751067638403,1216.4070510864258,278.7070941925048
12,3012514807183,1219.6916198730469,262.7669835090638,1209.085922241211,277.50914454460144
13,3012514823838,1219.1064834594727,264.32001471519476,1226.891098022461,296.0419428348541
14,3012514840493,1217.5751495361328,266.156415939331,1226.9151306152344,306.0310578346253
15,3012514857148,1212.817726135254,285.95028162002563,1226.9151306152344,306.0310578346253
16,3012514873803,721.7512893676758,267.1885889768601,,
17,3012514890458,721.7512893676758,267.1885889768601,,
18,3012514907113,,,,
19,3012514923767,,,,
20,3012514940423,,,,
21,3012514957078,,,,
22,3012514973732,,,,
23,3012514990387,,,,
24,3012515007042,,,,
25,3012515023697,,,395.57973861694336,841.4216923713684
26,3012515040352,556.8407249450684,569.059910774231,655.9970283508301,735.1013517379761
27,3012515057007,556.8407249450684,569.059910774231,855.8502960205079,653.507330417633
28,3012515073661,545.4997444152831,547.6838850975037,558.4779739379883,501.86565041542053
29,3012515090316,561.4602470397949,548.9290523529053,551.4639472961426,520.7189297676086
30,3012515106971,556.2980461120607,538.2195067405702,561.7389678955078,554.9249482154846
31,3012515123626,538.904972076416,530.2899742126465,572.0195388793945,558.7844324111938
32,3012515140281,455.5544757843018,382.6906943321228,469.21895027160656,370.5170810222626
33,3012515156936,456.4752960205078,355.91087579727173,459.5789337158202,373.23323607444763
34,3012515173591,465.42174339294434,337.2471427917481,450.23843765258795,379.2299687862396
35,3012515190245,480.06494522094727,346.99756264686584,455.02541542053217,367.3328375816345
36,3012515206901,471.87927246093756,348.7396574020386,459.3451309204101,350.64010977745056
37,3012515223556,471.76280021667475,368.94634723663336,459.5341300964355,340.2932739257812
38,3012515240210,475.6222629547119,370.1980805397033,460.55963516235363,337.4951720237732
39,3012515256865,462.37060546875006,352.1056258678437,461.11836433410645,338.5816276073456
40,3012515273520,468.8913059234619,349.6938586235047,457.69323348999023,331.03949189186096
41,3012515290174,445.31982421874994,325.5739974975586,443.46756935119635,326.2347221374512
42,3012515306830,406.6157054901123,298.7645673751831,410.8548545837402,310.0549829006195
43,3012515323485,393.20775032043457,289.6663749217987,394.2232704162598,303.8325905799866
44,3012515340139,386.2307453155517,282.46544837951654,388.099422454834,285.8501172065735
45,3012515356794,399.22096252441406,308.07618856430054,395.0652122497559,282.13547229766846
46,3012515373449,405.0429725646973,316.2094295024872,400.77999114990234,291.3353419303894
47,3012515390104,405.8993911743164,311.6176378726959,392.55017280578613,288.0396044254303
48,3012515406759,405.1330661773681,312.0927107334137,389.24300193786627,286.85073137283325
49,3012515423414,413.3597660064697,315.0755310058594,393.7181282043457,283.81020069122314
50,3012515440069,414.9535274505615,316.6180372238159,401.75989151000977,285.676599740982
51,3012515456723,406.4145469665528,324.2615604400635,395.6994438171387,275.17147064208984
