time_stamp,x_cod_left_gaze,y_cod_left_gaze,x_cod_right_gaze,y_cod_right_gaze
7605643790,677.1270561218262,585.3884482383728,650.0218391418457,610.8240294456482
7605660444,682.6988410949707,588.2679176330566,646.9002914428711,602.0950484275818
7605677099,680.471305847168,591.0299062728882,653.6335945129395,600.5264067649841
7605693754,677.8078651428223,588.447003364563,653.9023017883301,608.910927772522
7605710408,687.3248291015625,589.6433115005493,642.1516799926758,599.8603391647339
7605727063,693.3952331542969,585.9874391555786,635.4480743408203,597.5963401794434
7605743718,649.2871856689453,580.0121426582336,622.2942352294922,606.8527293205261
7605760373,641.8492698669434,569.0874624252319,614.1692161560059,562.0939135551453
7605777027,634.2022132873535,544.471800327301,611.1606216430664,530.8654367923737
7605793682,627.853946685791,540.391194820404,598.8826560974121,545.9671211242676
7605810337,623.8050842285156,536.4047992229462,597.9647254943848,541.7364621162415
7605826991,620.1522445678711,536.9561219215393,604.4435691833496,550.2399444580078
7605843646,617.8185081481934,526.3090181350708,608.3409118652344,551.7642974853516
7605860301,616.5765953063965,523.0137956142426,603.6562728881836,552.278573513031
7605876955,632.6039886474609,524.0202033519745,588.7862205505371,544.3208456039429
7605893610,628.5732650756836,515.3614211082458,549.4016075134277,482.34997272491455
7605910265,396.8639373779297,308.0454182624817,432.97502517700195,334.76794481277466
7605926919,414.13604736328125,320.33342242240906,386.9663429260254,295.72667598724365
7605943574,427.78870582580566,346.2965404987335,374.8687934875488,315.08161425590515
7605960229,424.35765266418457,342.8945231437683,376.100378036499,325.07678031921387
7605976883,423.33789825439453,328.92647981643677,376.3341236114502,313.38422656059265
7605993538,429.0718746185303,332.3637092113495,381.0839653015137,318.34123849868774
7606010193,424.5479393005371,329.05483961105347,382.2216510772705,324.1393804550171
7606026848,425.1415729522705,325.4086232185364,371.11023902893066,311.29039764404297
7606043502,429.17447090148926,326.77918910980225,365.3455352783203,322.8893530368805
7606060157,406.2637996673584,329.2778277397156,362.16047286987305,340.3001296520233
7606076812,348.4453296661377,318.304545879364,295.6674098968506,325.67763805389404
7606093466,325.0494575500488,314.7218334674835,243.75454902648926,310.14455795288086
7606110121,331.5458106994629,331.40976548194885,252.59519577026367,292.3006796836853
7606126776,316.8782615661621,330.20512104034424,257.18971252441406,299.93210077285767
7606143430,320.99756240844727,320.28610825538635,260.65664291381836,311.40549659729004
7606160085,327.0710277557373,318.0159616470337,260.2048587799072,305.67240357398987
7606176740,318.69744300842285,308.84921193122864,252.2410011291504,298.0923521518707
7606193394,319.63099479675293,301.1147618293762,247.86858558654785,284.90422010421753
7606210049,326.21870040893555,307.04023361206055,258.48286628723145,288.6201524734497
7606226704,317.04797744750977,316.4597761631012,276.2225532531738,301.5580987930298
7606243358,300.3300476074219,319.6785235404968,279.6631050109863,300.85498452186584
7606260013,311.3334560394287,315.0005042552948,281.1514377593994,297.8964328765869
7606276668,314.68305587768555,304.03401374816895,283.8229751586914,288.34264039993286
7606293323,308.70203018188477,313.57744216918945,263.16410064697266,283.617821931839
7606309977,311.7934799194336,316.05103969573975,253.79496574401855,291.70191407203674
7606326632,306.16164207458496,313.2210409641266,253.760404586792,282.38810420036316
7606343287,313.1694030761719,306.376451253891,253.18164825439453,271.05021357536316
7606359941,311.2178707122803,304.41684007644653,244.1462516784668,276.14376068115234
7606376596,316.28711700439453,304.16404724121094,248.85555267333984,289.8095726966858
7606393251,322.64416694641113,300.21469831466675,262.5886058807373,287.0940291881561
7606409905,325.0986957550049,303.69734287261963,263.5605525970459,283.84283781051636
7606426560,321.44396781921387,304.19909834861755,274.54493522644043,290.63814997673035
7606443215,314.49806213378906,298.9849805831909,280.42399406433105,285.5082321166992
7606459869,306.3152503967285,301.1985433101654,282.28219985961914,284.1216051578522
7606476524,294.984712600708,312.20571756362915,282.1282482147217,286.1866593360901
7606493179,293.59851837158203,313.58680844306946,267.31407165527344,291.0231328010559
7606509833,295.7175064086914,307.6332378387451,247.0542812347412,285.760703086853
7606526488,292.5747299194336,305.1108133792877,245.2576446533203,267.86252617836
7606543143,292.6508331298828,319.71779108047485,242.80325889587402,258.83834660053253
7606559798,293.9699077606201,321.75899505615234,237.45640754699707,268.17082464694977
7606576452,277.38012313842773,317.2548472881317,261.2084197998047,266.4804536104202
7606593107,277.93230056762695,326.26755237579346,267.2886657714844,263.3682596683502
7606609762,276.06639862060547,318.96884322166443,248.6063575744629,267.44698226451874
7606626416,275.2573871612549,318.429172039032,242.22447395324707,260.7515126466751
7606643071,284.08495903015137,324.181512594223,241.0777759552002,256.03359818458557
7606659726,277.95802116394043,320.6815838813782,236.36070728302002,255.2514499425888
7606676380,289.4384479522705,314.96200919151306,231.65142059326172,256.02561593055725
7606693035,288.7499141693115,315.9488797187805,241.92669868469238,259.601714015007
7606709690,282.1432113647461,312.56781578063965,254.40919876098633,251.82163953781128
7606726344,285.5219078063965,307.6640725135803,252.6920986175537,258.78784596920013
7606742999,285.3918743133545,299.03329253196716,256.6601371765137,267.50202119350433
7606759654,285.46382904052734,297.0591974258423,268.68770599365234,270.8699691295624
7606776308,287.80674934387207,324.0471017360687,262.85539627075195,255.42284309864044
7606792963,292.79130935668945,325.17475605010986,247.97733306884766,252.50410616397858
7606809618,290.2085781097412,318.2726812362671,248.7044334411621,258.3762127161026
7606826273,284.20546531677246,318.11416268348694,256.6640281677246,260.9518414735794
7606842927,286.9888401031494,316.27647399902344,259.8984432220459,259.85730707645416
7606859582,290.98998069763184,315.3665614128113,253.58293533325195,251.29857659339905
7606876237,276.20859146118164,314.9716007709503,245.69005966186523,247.05050468444824
7606892891,274.6896457672119,312.2913980484009,260.82950592041016,264.54155445098877
7606909546,282.6345920562744,314.94919896125793,259.3224334716797,273.3869218826294
7606926201,287.0518684387207,317.7337181568146,251.32381439208984,269.35358226299286
7606942855,281.39562606811523,318.61125111579895,246.0897445678711,256.8501216173172
7606959510,284.03449058532715,318.9203703403473,242.80011177062988,246.55381858348846
7606976165,280.27828216552734,313.4337294101715,247.57184028625488,258.9970260858536
7606992819,278.1175231933594,309.902161359787,238.34645748138428,245.25601029396057
7607009474,279.84867095947266,303.4403657913208,232.79691696166992,252.4327164888382
7607026129,280.74440002441406,295.4185223579407,246.7375946044922,264.1377264261246
7607042783,285.3705310821533,301.4265203475952,234.0642786026001,264.32796478271484
7607059438,280.3754997253418,305.8448910713196,223.5639524459839,263.4409689903259
7607076093,286.4089107513428,305.7997977733612,232.03863143920898,277.70264983177185
7607092748,281.62625312805176,307.96778440475464,232.42122173309326,264.4297385215759
7607109402,294.6383571624756,311.0842430591583,248.45008850097656,244.88654136657715
7607126057,341.49521827697754,311.98849081993103,294.32762145996094,259.4065350294113
7607142712,372.7557563781738,311.8252730369568,351.0171604156494,268.7454342842102
7607159366,381.89297676086426,306.5520930290222,356.34252548217773,268.3564442396164
7607176021,378.94025802612305,307.80131578445435,363.14592361450195,280.0019574165344
7607192676,366.91094398498535,296.5161466598511,365.3000736236572,294.1320598125458
7607209330,370.5022716522217,287.17913031578064,365.3719997406006,285.4812276363373
7607225985,373.9223098754883,307.767037153244,366.644811630249,275.0861442089081
7607242640,384.12683486938477,300.64619064331055,352.99126625061035,274.54463839530945
7607259294,389.28319931030273,299.4866716861725,354.3588638305664,272.1110486984253
7607275949,382.1261787414551,304.71105694770813,350.1814556121826,269.83842372894287
